Churn,Tenure,CityTier,WarehouseToHome,Gender,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Mobile Phone,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Married,MaritalStatus_Single,TenurePerAddress,AvgCashbackPerOrder,ComplainLowTenure,OrderFrequency,CouponUsageRate
1,0.0,3,26.0,0,3.0,5,3,4,1,11.0,1.0,2.0,2.0,145.59,1,0,1,0,0,0,1,0,0,0,0,0.0,48.53,1,2.0,0.3333333333333333
1,14.0,1,14.0,1,2.0,5,2,3,0,15.0,0.0,1.0,3.0,206.5,0,0,1,0,0,0,0,0,0,0,1,3.5,103.25,0,0.06666666666666667,0.0
1,0.0,1,15.0,0,2.0,3,5,8,0,22.0,1.0,1.0,4.0,142.0,1,1,0,0,0,0,0,1,0,0,1,0.0,71.0,0,1.0,0.5
0,8.0,3,6.0,1,3.0,3,4,2,0,13.0,1.0,1.0,6.0,172.95,1,0,0,1,0,0,0,0,0,0,0,2.6666666666666665,86.475,0,0.1111111111111111,0.5
0,9.0,3,12.0,1,2.0,3,3,3,1,20.0,0.0,4.0,5.0,123.06,1,0,0,1,0,0,1,0,0,0,0,2.25,24.612000000000002,0,0.4,0.0
0,18.0,1,14.0,1,2.0,3,4,9,0,18.0,1.0,1.0,14.5,123.47999999999999,1,0,1,0,0,0,1,0,0,1,0,1.8,61.739999999999995,0,0.05263157894736842,0.5
0,5.0,3,14.0,0,2.0,3,2,2,0,14.0,2.0,3.0,7.0,189.98,0,0,0,1,0,0,0,0,0,0,1,1.6666666666666667,47.495,0,0.5,0.5
0,2.0,1,6.0,1,2.0,3,3,2,0,13.0,0.0,1.0,9.0,143.19,0,0,0,0,0,0,1,0,0,0,0,0.6666666666666666,71.595,0,0.3333333333333333,0.0
0,0.0,1,13.0,1,2.0,4,3,3,0,17.0,1.0,1.0,0.0,161.32,1,1,0,0,0,0,1,0,0,0,0,0.0,80.66,0,1.0,0.5
0,30.0,1,15.0,0,3.0,4,4,5,1,20.0,1.0,1.0,0.0,133.46,1,1,0,0,0,0,0,1,0,0,0,5.0,66.73,0,0.03225806451612903,0.5
0,13.0,3,10.0,1,3.0,4,2,8,0,11.0,2.0,2.0,11.0,208.55,1,0,0,1,0,0,0,0,0,0,0,1.4444444444444444,69.51666666666667,0,0.14285714285714285,0.6666666666666666
0,9.0,3,8.0,0,3.0,3,3,7,0,18.0,1.0,1.0,2.0,122.31,0,0,0,1,0,0,0,1,0,0,0,1.125,61.155,0,0.1,0.5
0,0.0,1,14.0,1,3.0,3,2,2,0,24.0,0.0,2.0,2.0,123.22999999999999,1,1,0,0,0,0,0,1,0,0,0,0.0,41.07666666666666,0,2.0,0.0
0,9.0,1,15.0,1,2.0,3,4,7,0,18.0,0.0,2.0,2.0,120.24000000000001,0,1,0,0,0,0,0,1,0,1,0,1.125,40.080000000000005,0,0.2,0.0
0,1.0,1,27.0,1,3.0,3,2,2,0,11.0,0.0,1.0,2.0,127.13,1,1,0,0,0,0,0,1,0,0,0,0.3333333333333333,63.565,0,0.5,0.0
0,30.0,1,30.0,1,2.0,2,2,4,1,16.0,1.0,1.0,4.0,194.39,1,0,1,0,0,0,0,0,0,1,0,6.0,97.195,0,0.03225806451612903,0.5
0,0.0,1,14.0,1,3.0,4,3,2,1,15.0,0.0,1.0,1.0,125.66,0,1,0,0,0,0,0,1,0,1,0,0.0,62.83,1,1.0,0.0
0,23.0,1,17.0,0,2.0,3,4,4,0,15.0,2.0,4.0,4.0,299.26,1,0,1,0,0,0,0,0,1,0,1,4.6,59.852,0,0.16666666666666666,0.4
0,14.0,1,14.0,1,2.0,3,3,5,0,12.0,1.0,1.0,8.0,124.50999999999999,1,0,1,0,0,0,0,1,0,1,0,2.3333333333333335,62.254999999999995,0,0.06666666666666667,0.5
0,3.0,3,11.0,0,2.0,3,2,3,0,12.0,2.0,6.0,4.0,194.19,1,0,1,0,0,0,0,0,0,0,0,0.75,27.74142857142857,0,1.5,0.2857142857142857
0,11.0,3,6.0,0,2.0,4,2,5,0,22.0,1.0,1.0,1.0,186.86,1,0,1,0,0,0,1,0,0,0,1,1.8333333333333333,93.43,0,0.08333333333333333,0.5
0,5.0,1,12.0,1,3.0,3,3,4,0,20.0,0.0,1.0,4.0,130.38,1,0,1,0,0,0,0,1,0,0,1,1.0,65.19,0,0.16666666666666666,0.0
0,0.0,1,23.0,1,3.0,3,4,1,1,16.0,1.0,1.0,1.0,130.58,1,0,0,0,0,0,0,1,0,0,0,0.0,65.29,1,1.0,0.5
1,0.0,3,14.0,0,3.0,5,5,1,0,21.0,1.0,1.0,0.0,123.25,0,0,0,0,0,0,0,1,0,0,1,0.0,61.625,0,1.0,0.5
0,9.0,1,9.0,1,1.0,3,4,5,0,12.0,3.5,6.0,2.0,120.88,0,1,0,0,0,0,0,1,0,0,1,1.5,17.268571428571427,0,0.6,0.5
0,3.0,1,15.0,1,3.0,3,5,2,0,11.0,0.0,6.0,10.0,130.72,0,1,0,0,0,0,1,0,0,1,0,1.0,18.674285714285713,0,1.5,0.0
0,18.0,3,10.0,0,1.0,3,5,5,1,11.0,0.0,1.0,3.0,150.06,1,0,1,0,0,0,1,0,0,1,0,3.0,75.03,0,0.05263157894736842,0.0
0,29.0,1,14.0,0,3.0,3,5,5,1,18.0,1.0,2.0,2.0,142.57,1,0,1,0,0,0,0,1,0,1,0,4.833333333333333,47.52333333333333,0,0.06666666666666667,0.3333333333333333
0,6.0,1,14.0,1,2.0,3,2,1,0,14.0,0.0,1.0,2.0,125.0,1,0,1,0,0,0,0,1,0,0,1,3.0,62.5,0,0.14285714285714285,0.0
1,0.0,1,8.0,1,2.0,4,2,2,0,22.0,0.0,1.0,0.0,111.02000000000001,1,0,1,0,0,0,0,1,0,0,1,0.0,55.510000000000005,0,1.0,0.0
0,19.0,3,6.0,0,3.0,3,5,2,0,25.0,3.5,6.0,7.0,204.53,1,0,0,1,0,0,0,0,0,1,0,6.333333333333333,29.21857142857143,0,0.3,0.5
0,9.0,1,15.0,0,3.0,3,2,2,0,12.0,1.0,2.0,1.0,122.88,1,0,1,0,0,0,0,1,0,0,1,3.0,40.96,0,0.2,0.3333333333333333
0,4.0,1,18.0,0,3.0,3,2,9,1,23.0,1.0,1.0,2.0,139.29,1,1,0,0,0,0,0,1,0,0,0,0.4,69.645,0,0.2,0.5
0,9.0,1,33.0,0,3.0,3,4,3,0,15.0,1.0,1.0,2.0,123.11000000000001,1,1,0,0,0,0,0,1,0,0,1,2.25,61.55500000000001,0,0.1,0.5
1,4.0,3,26.0,0,3.0,3,4,2,1,22.0,0.0,1.0,2.0,131.4,1,0,0,1,0,0,0,1,0,0,1,1.3333333333333333,65.7,0,0.2,0.0
0,23.0,1,6.0,1,2.0,4,3,3,0,15.0,0.0,1.0,2.0,136.9,1,1,0,0,0,0,0,1,0,0,0,5.75,68.45,0,0.041666666666666664,0.0
0,26.0,1,19.0,0,2.0,2,5,2,0,11.0,1.0,1.0,3.0,144.5,1,1,0,0,0,0,1,0,0,1,0,8.666666666666666,72.25,0,0.037037037037037035,0.5
0,6.0,1,20.0,0,3.0,3,4,2,0,13.0,0.0,1.0,6.0,127.56,1,1,0,0,0,0,0,1,0,0,0,2.0,63.78,0,0.14285714285714285,0.0
0,13.0,1,10.0,0,2.0,3,3,2,0,14.0,1.0,6.0,9.0,290.33,1,1,0,0,0,0,0,0,1,0,0,4.333333333333333,41.47571428571428,0,0.42857142857142855,0.14285714285714285
0,28.0,1,20.0,1,3.0,2,4,9,0,11.0,1.0,2.0,14.5,287.22,1,1,0,0,0,0,0,0,1,0,1,2.8,95.74000000000001,0,0.06896551724137931,0.3333333333333333
0,7.0,1,8.0,1,2.0,4,3,2,0,17.0,0.0,1.0,9.0,195.47,0,0,1,0,0,0,1,0,0,0,0,2.3333333333333335,97.735,0,0.125,0.0
0,24.0,1,9.0,0,3.0,3,4,4,0,18.0,0.0,2.0,0.0,237.33999999999997,1,1,0,0,0,1,0,0,0,0,1,4.8,79.11333333333333,0,0.08,0.0
0,25.0,1,6.0,1,3.0,4,3,1,0,15.0,1.0,6.0,9.0,299.99,1,0,1,0,0,0,0,0,1,0,0,12.5,42.855714285714285,0,0.23076923076923078,0.14285714285714285
0,9.0,1,15.0,0,2.0,3,4,2,0,16.0,1.0,1.0,3.0,122.78999999999999,1,1,0,0,0,0,0,1,0,0,1,3.0,61.394999999999996,0,0.1,0.5
1,0.0,1,29.0,1,2.0,4,3,4,1,13.0,1.0,1.0,1.0,159.16,1,0,1,0,0,0,1,0,0,0,0,0.0,79.58,1,1.0,0.5
0,9.0,1,13.0,1,2.0,2,2,5,0,14.0,0.0,2.0,2.0,120.88999999999999,0,1,0,0,0,0,0,1,0,1,0,1.5,40.29666666666666,0,0.2,0.0
0,18.0,1,8.0,1,3.0,4,2,10,0,23.0,1.0,6.0,8.0,267.92,0,1,0,0,0,1,0,0,0,0,0,1.6363636363636365,38.27428571428572,0,0.3157894736842105,0.14285714285714285
0,10.0,1,27.0,1,3.0,2,5,2,1,12.0,0.0,1.0,7.0,135.64,1,0,1,0,0,0,0,1,0,0,0,3.3333333333333335,67.82,0,0.09090909090909091,0.0
0,8.0,1,8.0,0,2.0,3,4,6,0,11.0,1.0,1.0,2.0,144.25,0,1,0,0,0,0,1,0,0,0,1,1.1428571428571428,72.125,0,0.1111111111111111,0.5
0,15.0,1,27.0,0,2.0,3,3,3,0,16.0,0.0,1.0,2.0,152.65,0,1,0,0,0,0,1,0,0,1,0,3.75,76.325,0,0.0625,0.0
0,11.0,1,8.0,1,2.0,3,3,10,0,14.0,0.0,1.0,0.0,165.53,1,0,1,0,0,0,1,0,0,0,0,1.0,82.765,0,0.08333333333333333,0.0
0,11.0,1,35.0,1,2.0,3,2,4,0,18.0,0.0,1.0,7.0,162.61,1,0,0,0,0,0,1,0,0,0,0,2.2,81.305,0,0.08333333333333333,0.0
0,0.0,1,6.0,1,2.0,4,5,6,0,19.0,0.0,2.0,0.0,142.98,0,0,0,0,0,0,1,0,0,0,0,0.0,47.66,0,2.0,0.0
0,22.0,1,24.0,1,3.0,3,2,2,1,15.0,0.0,1.0,7.0,168.04,0,0,1,0,0,0,1,0,0,1,0,7.333333333333333,84.02,0,0.043478260869565216,0.0
0,7.0,1,16.0,1,2.0,3,3,2,1,17.0,2.0,2.0,0.0,138.15,0,1,0,0,0,0,0,1,0,1,0,2.3333333333333335,46.050000000000004,0,0.25,0.6666666666666666
0,13.0,1,25.0,1,3.0,3,2,9,1,15.0,1.0,3.0,7.0,127.41,1,1,0,0,0,0,1,0,0,0,0,1.3,31.8525,0,0.21428571428571427,0.25
1,1.0,1,35.0,1,3.0,3,5,8,1,19.0,0.0,1.0,0.0,166.73,1,1,0,0,0,0,1,0,0,0,0,0.1111111111111111,83.365,1,0.5,0.0
1,0.0,3,33.0,0,2.0,3,2,2,0,22.0,1.0,1.0,9.0,176.39,1,0,0,1,0,0,0,0,0,0,0,0.0,88.195,0,1.0,0.5
0,0.0,1,14.0,1,2.0,2,4,2,1,16.0,0.0,2.0,2.0,123.28,1,0,1,0,0,0,0,1,0,1,0,0.0,41.093333333333334,1,2.0,0.0
0,9.0,1,24.0,0,3.0,3,2,2,0,13.0,1.0,1.0,7.0,121.53,0,1,0,0,0,0,0,1,0,0,1,3.0,60.765,0,0.1,0.5
0,13.0,1,15.0,1,3.0,4,2,10,0,14.0,1.0,1.0,2.0,148.76,0,0,1,0,0,0,1,0,0,0,0,1.1818181818181819,74.38,0,0.07142857142857142,0.5
0,19.0,1,6.0,1,3.0,3,5,8,0,16.0,0.0,1.0,3.0,193.96,1,1,0,0,0,0,0,0,0,1,0,2.111111111111111,96.98,0,0.05,0.0
1,0.0,3,10.0,1,2.0,5,2,2,0,11.0,3.5,6.0,8.0,204.0,1,1,0,0,0,0,0,0,0,0,0,0.0,29.142857142857142,0,6.0,0.5
0,3.0,1,6.0,1,2.0,4,3,2,0,22.0,2.0,5.0,8.0,184.74,0,0,1,0,0,0,0,0,0,0,1,1.0,30.790000000000003,0,1.25,0.3333333333333333
0,0.0,3,26.0,0,2.0,3,3,2,0,14.0,1.0,1.0,7.0,199.81,0,0,1,0,0,0,1,0,0,0,1,0.0,99.905,0,1.0,0.5
0,24.0,1,14.0,1,2.0,4,4,6,0,16.0,1.0,4.0,3.0,224.89999999999998,1,0,1,0,0,0,0,0,0,0,0,3.4285714285714284,44.98,0,0.16,0.2
1,0.0,1,14.0,0,2.0,3,5,6,1,11.0,1.0,1.0,4.0,126.57,1,0,0,0,0,0,0,1,0,0,1,0.0,63.285,1,1.0,0.5
0,14.0,3,12.0,0,3.0,3,2,4,1,18.0,0.0,2.0,0.0,235.91000000000003,1,0,1,0,0,0,0,0,0,0,1,2.8,78.63666666666667,0,0.13333333333333333,0.0
1,0.0,3,32.0,0,2.0,4,5,6,0,15.0,0.0,1.0,1.0,166.96,0,0,0,1,0,0,1,0,0,0,1,0.0,83.48,0,1.0,0.0
1,9.0,1,6.0,1,2.0,3,3,1,0,14.0,0.0,1.0,5.0,120.58000000000001,1,0,0,0,0,0,0,1,0,0,1,4.5,60.290000000000006,0,0.1,0.0
0,18.0,3,12.0,0,2.0,4,2,7,0,12.0,3.5,6.0,8.0,188.65,0,1,0,0,0,0,0,0,0,0,1,2.25,26.95,0,0.3157894736842105,0.5
0,27.0,3,9.0,0,2.0,3,5,3,0,14.0,1.0,1.0,5.0,159.4,1,0,0,1,0,0,1,0,0,0,0,6.75,79.7,0,0.03571428571428571,0.5
0,9.0,1,11.0,1,3.0,3,4,9,0,16.0,0.0,3.0,7.0,159.14,1,0,1,0,0,0,1,0,0,0,1,0.9,39.785,0,0.3,0.0
0,6.0,1,14.0,0,2.0,4,4,7,0,21.0,0.0,1.0,1.0,126.22,1,1,0,0,0,0,0,1,0,0,0,0.75,63.11,0,0.14285714285714285,0.0
0,10.0,1,17.0,1,2.0,3,2,2,1,14.0,0.0,1.0,3.0,221.85000000000002,0,0,0,0,1,0,0,0,0,1,0,3.3333333333333335,110.92500000000001,0,0.09090909090909091,0.0
0,11.0,3,9.0,1,3.0,3,3,1,0,12.0,1.0,5.0,13.0,206.08999999999997,1,0,1,0,0,0,0,0,0,1,0,5.5,34.34833333333333,0,0.4166666666666667,0.16666666666666666
0,4.0,1,6.0,1,2.0,5,3,1,0,12.0,1.0,1.0,4.0,143.45,0,1,0,0,0,0,1,0,0,0,0,2.0,71.725,0,0.2,0.5
0,9.0,1,9.0,1,3.0,4,2,4,0,17.0,0.0,1.0,0.0,121.77000000000001,1,0,1,0,0,0,0,1,0,0,0,1.8,60.885000000000005,0,0.1,0.0
0,10.0,3,10.0,1,2.0,3,2,5,0,17.0,1.0,5.0,8.0,0.0,0,0,0,1,0,0,0,1,0,1,0,1.6666666666666667,0.0,0,0.45454545454545453,0.16666666666666666
0,2.0,3,6.0,0,2.0,3,2,2,0,14.0,3.5,4.0,1.0,179.18,0,1,0,0,0,0,0,0,0,0,0,0.6666666666666666,35.836,0,1.3333333333333333,0.7
0,8.0,3,6.0,0,3.0,3,3,2,0,14.0,1.0,1.0,8.0,187.89,0,0,0,1,0,0,0,0,0,0,1,2.6666666666666665,93.945,0,0.1111111111111111,0.5
1,0.0,1,14.0,1,2.0,4,2,2,1,13.0,0.0,1.0,1.0,123.88999999999999,1,1,0,0,0,0,0,1,0,0,1,0.0,61.94499999999999,1,1.0,0.0
0,25.0,1,8.0,0,2.0,4,2,8,0,15.0,0.0,2.0,2.0,132.12,1,0,1,0,0,0,0,1,0,0,1,2.7777777777777777,44.04,0,0.07692307692307693,0.0
0,15.0,1,10.0,1,2.0,3,2,2,0,15.0,0.0,6.0,14.5,292.32,1,0,0,0,0,0,0,0,1,0,0,5.0,41.76,0,0.375,0.0
0,9.0,2,12.0,1,2.0,3,3,9,0,17.0,2.0,2.0,2.0,122.66999999999999,1,1,0,0,0,0,0,1,0,0,0,0.9,40.88999999999999,0,0.2,0.6666666666666666
0,23.0,3,6.0,0,3.0,3,2,4,0,15.0,1.0,1.0,6.0,295.17,1,1,0,0,0,0,0,0,1,1,0,4.6,147.585,0,0.041666666666666664,0.5
1,0.0,1,14.0,1,2.0,3,2,6,1,13.0,0.0,1.0,4.0,124.36000000000001,1,1,0,0,0,0,0,1,0,0,0,0.0,62.18000000000001,1,1.0,0.0
0,16.0,3,22.0,0,3.0,3,2,6,1,22.0,0.0,2.0,9.0,260.64,1,0,0,1,0,1,0,0,0,0,0,2.2857142857142856,86.88,0,0.11764705882352941,0.0
1,0.0,1,8.0,0,3.0,3,5,8,0,20.0,1.0,1.0,7.0,127.07,1,0,1,0,0,0,0,1,0,0,0,0.0,63.535,0,1.0,0.5
0,25.0,3,8.0,1,3.0,4,3,2,1,18.0,1.0,6.0,12.0,290.68,0,0,1,0,0,0,0,0,1,0,1,8.333333333333334,41.52571428571429,0,0.23076923076923078,0.14285714285714285
0,5.0,3,10.0,0,2.0,3,4,3,0,11.0,1.0,1.0,2.0,139.31,1,0,1,0,0,0,0,1,0,0,0,1.25,69.655,0,0.16666666666666666,0.5
1,0.0,1,6.0,1,3.0,4,3,1,1,14.0,1.0,1.0,2.0,137.3,1,0,1,0,0,0,0,1,0,0,1,0.0,68.65,1,1.0,0.5
0,9.0,1,6.0,0,3.0,3,3,8,0,14.0,0.0,1.0,2.0,122.32,1,1,0,0,0,0,0,1,0,1,0,1.0,61.16,0,0.1,0.0
0,5.0,3,32.0,1,3.0,3,2,1,0,18.0,1.0,2.0,2.0,144.65,0,0,0,1,0,0,1,0,0,0,0,2.5,48.21666666666667,0,0.3333333333333333,0.3333333333333333
0,14.0,1,25.0,1,3.0,3,5,3,0,16.0,1.0,1.0,0.0,130.72,1,0,1,0,0,0,1,0,0,1,0,3.5,65.36,0,0.06666666666666667,0.5
0,13.0,1,30.0,1,3.0,3,2,2,0,17.0,2.0,4.0,7.0,133.19,1,0,0,0,0,0,1,0,0,1,0,4.333333333333333,26.637999999999998,0,0.2857142857142857,0.4
0,18.0,1,6.0,1,3.0,2,2,1,0,15.0,1.0,1.0,7.0,292.02,1,0,0,0,1,0,0,0,1,0,0,9.0,146.01,0,0.05263157894736842,0.5
0,4.0,1,9.0,1,3.0,3,3,10,0,12.0,1.0,2.0,2.0,236.75,0,1,0,0,0,0,0,0,0,1,0,0.36363636363636365,78.91666666666667,0,0.4,0.3333333333333333
0,6.0,1,11.0,0,3.0,4,2,2,0,13.0,0.0,1.0,2.0,129.11,1,0,1,0,0,0,0,1,0,0,0,2.0,64.555,0,0.14285714285714285,0.0
0,7.0,1,8.0,1,2.0,4,5,7,0,13.0,0.0,5.0,9.0,159.57,1,0,1,0,0,0,1,0,0,0,0,0.875,26.595,0,0.625,0.0
0,10.0,1,6.0,0,2.0,4,5,3,0,14.0,1.0,1.0,2.0,139.2,1,1,0,0,0,0,0,1,0,0,0,2.5,69.6,0,0.09090909090909091,0.5
0,18.0,1,13.0,1,3.0,2,3,5,0,17.0,0.0,1.0,2.0,164.34,0,0,1,0,0,0,1,0,0,0,0,3.0,82.17,0,0.05263157894736842,0.0
1,0.0,1,16.0,1,3.0,3,3,7,0,11.0,1.0,1.0,0.0,200.48,0,1,0,0,0,0,0,0,0,1,0,0.0,100.24,0,1.0,0.5
0,12.0,1,8.0,0,3.0,3,3,1,0,25.0,3.5,6.0,3.0,209.38,0,0,0,0,0,0,0,0,0,0,1,6.0,29.91142857142857,0,0.46153846153846156,0.5
0,2.0,1,14.0,1,2.0,3,2,2,0,19.0,0.0,1.0,5.0,123.4,1,0,1,0,0,0,0,1,0,0,1,0.6666666666666666,61.7,0,0.3333333333333333,0.0
0,15.0,1,23.0,0,2.0,2,5,4,1,13.0,0.0,1.0,2.0,165.45,1,0,1,0,0,0,1,0,0,0,1,3.0,82.725,0,0.0625,0.0
0,2.0,3,26.0,1,2.0,3,2,3,0,14.0,1.0,1.0,2.0,169.31,1,0,0,1,0,0,1,0,0,1,0,0.5,84.655,0,0.3333333333333333,0.5
0,0.0,1,6.0,0,3.0,3,3,1,0,12.0,1.0,1.0,2.0,148.98,1,0,1,0,0,0,1,0,0,0,0,0.0,74.49,0,1.0,0.5
0,15.0,1,14.0,0,2.0,4,5,1,1,11.0,3.5,6.0,8.0,125.93,1,1,0,0,0,0,0,1,0,1,0,7.5,17.990000000000002,0,0.375,0.5
0,13.0,1,8.0,1,2.0,3,3,1,0,15.0,0.0,3.0,9.0,294.36,1,1,0,0,0,0,0,0,1,1,0,6.5,73.59,0,0.21428571428571427,0.0
0,24.0,1,6.0,1,3.0,3,2,2,0,11.0,1.0,1.0,0.0,127.22999999999999,1,0,1,0,0,0,0,1,0,0,0,8.0,63.614999999999995,0,0.04,0.5
1,0.0,1,35.0,1,3.0,4,4,1,0,11.0,1.0,1.0,4.0,134.79,0,1,0,0,0,0,0,1,0,0,1,0.0,67.395,0,1.0,0.5
0,5.0,1,13.0,1,3.0,2,4,2,0,20.0,0.0,1.0,3.0,127.94,0,0,1,0,0,0,0,1,0,0,0,1.6666666666666667,63.97,0,0.16666666666666666,0.0
0,11.0,3,8.0,1,2.0,4,2,4,0,18.0,3.5,6.0,5.0,152.49,0,0,1,0,0,0,1,0,0,0,0,2.2,21.784285714285716,0,0.5,0.5
0,9.0,1,8.0,1,2.0,4,5,5,0,13.0,0.0,1.0,4.0,121.75999999999999,1,0,0,0,0,0,1,0,0,0,1,1.5,60.879999999999995,0,0.1,0.0
0,19.0,3,8.0,0,3.0,5,4,4,1,12.0,1.0,6.0,7.0,268.72,1,0,0,0,0,1,0,0,0,0,0,3.8,38.38857142857143,0,0.3,0.14285714285714285
1,0.0,1,8.0,1,3.0,3,3,3,0,11.0,1.0,1.0,0.0,134.85,1,0,1,0,0,0,0,1,0,0,1,0.0,67.425,0,1.0,0.5
0,2.0,3,8.0,1,3.0,4,4,3,0,19.0,0.0,1.0,0.0,166.44,1,1,0,0,0,0,1,0,0,0,0,0.5,83.22,0,0.3333333333333333,0.0
0,4.0,1,29.0,1,3.0,4,2,1,0,21.0,1.0,6.0,8.0,155.82,1,1,0,0,0,0,1,0,0,0,0,2.0,22.259999999999998,0,1.2,0.14285714285714285
0,0.0,1,11.0,1,2.0,2,5,2,0,12.0,1.0,1.0,5.0,140.0,0,0,1,0,0,0,1,0,0,1,0,0.0,70.0,0,1.0,0.5
0,18.0,1,26.0,1,3.0,3,2,1,1,14.0,0.0,2.0,10.0,234.95999999999998,1,1,0,0,0,1,0,0,0,0,0,9.0,78.32,0,0.10526315789473684,0.0
